for_profit_hotel_id,address_number,address_street,block_lot,cofu_residential,cofu_tourist,reported_residential,reported_tourist,vacant_residential,vacant_tourist,total_reported_hotel_units,auur_filing_received,aaur_sufficient
233,2160,MARKET ST,3542 014 01,56,4,41,4,15,0,60,Yes,Yes
234,2162,MARKET ST,3542 015 01,23,12,28,1,0,6,35,Yes,Yes
235,2306,MARKET ST,3562 001 01,16,0,NA,NA,NA,NA,NA,Yes,No
236,56,MASON ST,0341 008 01,41,16,0,0,41,16,57,Yes,No
237,111,MASON ST,0331 006 01,13,52,10,40,3,12,65,Yes,Yes
238,140,MASON ST,0330 014 01,9,66,0,62,9,4,75,Yes,Yes
239,146,MCALLISTER ST,0348 007 01,11,0,11,0,0,0,11,Yes,No
240,246,MCALLISTER ST,0347 005 01,42,20,42,0,20,0,62,Yes,Yes
241,45,MCCOPPIN ST,3513 057 01,9,0,NA,NA,NA,NA,NA,No,No
242,481,MINNA ST,3725 066 01,49,29,12,0,37,29,78,Yes,No
243,936,MISSION ST,3704 013 01,124,32,NA,NA,NA,NA,NA,No,No
244,948,MISSION ST,3704 017 01,40,16,40,7,0,9,56,Yes,Yes
245,1018,MISSION ST,3703 081 01,65,2,67,0,0,0,67,Yes,Yes
246,1288,MISSION ST,3701 022 01,81,24,76,9,3,17,105,Yes,No
247,1906,MISSION ST,3554 002 01,28,3,25,3,3,0,31,Yes,Yes
248,1941,MISSION ST,3553 022 01,39,19,58,0,5,0,63,Yes,Yes
249,2030,MISSION ST,3569 004 01,13,24,5,15,8,9,37,Yes,No
250,2032,MISSION ST,3569 005 01,18,4,14,2,4,2,22,Yes,No
251,2042,MISSION ST,3569 007 01,12,0,12,0,0,0,12,Yes,Yes
252,2056,MISSION ST,3569 011 01,20,2,NA,NA,NA,NA,NA,Yes,No
253,2072,MISSION ST,3569 014 01,16,0,NA,NA,NA,NA,NA,No,No
254,2084,MISSION ST,3569 015 01,50,0,42,0,8,0,50,Yes,Yes
255,2126,MISSION ST,3576 004 01,40,0,40,0,0,0,40,Yes,Yes
256,2135,MISSION ST,3575 038 01,46,0,NA,NA,NA,NA,NA,No,No
257,2284,MISSION ST,3589 016 01,10,25,10,11,0,14,35,Yes,Yes
258,2361,MISSION ST,3595 024 01,64,23,54,21,10,2,87,Yes,No
259,2370,MISSION ST,3596 014 01,12,0,12,0,0,0,12,Yes,Yes
260,2438,MISSION ST,3609 006 01,5,9,4,0,1,9,14,Yes,No
261,2477,MISSION ST,3610 020 01,15,0,16,0,0,0,16,Yes,No
262,2697,MISSION ST,3637 020 01,14,10,NA,NA,NA,NA,NA,Yes,No
263,2766,MISSION ST,3643 008 01,31,0,31,0,0,0,31,Yes,Yes
264,3308,MISSION ST,6635 001 01,22,6,NA,NA,NA,NA,NA,No,No
265,4796,MISSION ST,6956 036 01,11,0,10,0,0,0,10,Yes,No
266,5060,MISSION ST,6969 012 01,4,15,NA,NA,NA,NA,NA,No,No
267,515,OCTAVIA ST,0807 003 01,11,0,NA,NA,NA,NA,NA,No,No
268,531,OCTAVIA ST,0807 043 01,19,0,NA,NA,NA,NA,NA,No,No
269,1916,OCTAVIA ST,0640 011 01,20,0,20,0,0,0,20,Yes,No
270,190,OFARRELL ST,0314 006 01,60,11,45,1,15,10,71,Yes,Yes
271,240,OFARRELL ST,0315 010 01,78,51,59,43,19,8,129,Yes,Yes
272,280,OFARRELL ST,0315 015 01,22,0,9,0,13,0,22,Yes,Yes
273,411,OFARRELL ST,0324 001 01,85,35,43,38,42,0,123,Yes,No
274,445,OFARRELL ST,0324 021 01,55,47,NA,NA,NA,NA,NA,No,No
275,505,OFARRELL ST,0323 001 01,75,5,75,5,0,0,80,Yes,Yes
276,570,OFARRELL ST,0318 012 01,33,5,22,1,11,4,38,Yes,Yes
277,579,OFARRELL ST,0323 028 01,19,6,2,0,17,6,25,Yes,No
278,580,OFARRELL ST,0318 013 01,59,11,60,0,0,10,70,Yes,Yes
279,587,OFARRELL ST,0323 027 01,7,0,NA,NA,NA,NA,NA,No,No
280,601,OFARRELL ST,0322 001 01,7,0,7,0,0,0,7,Yes,Yes
281,608,OFARRELL ST,0319 007 01,26,2,19,2,7,0,28,Yes,Yes
282,626,OFARRELL ST,0319 008 001,6,7,3,7,3,0,13,Yes,Yes
283,788,OFARRELL ST,0320 014 01,10,0,10,0,0,0,10,Yes,No
284,630,PACIFIC AV,0162 006 01,18,0,18,0,0,0,18,Yes,Yes
285,644,PACIFIC AV,0162 008 01,28,0,27,0,1,0,28,Yes,Yes
286,656,PACIFIC AV,0162 009 01,35,0,32,0,0,0,32,Yes,No
